일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),평균 해면기압(hPa),합계 일조시간(hr),평균 지면온도(°C)
2020-01-30,4.22,-1.02,10.280000000000001,0.0,2.8,1.1,67.58,5.48,1015.7,5.8,3.0
2020-01-31,2.94,-0.6,8.780000000000001,0.0,4.0,1.3400000000000003,77.44,5.74,1020.4,4.26,2.8
2020-02-01,1.0,-3.5199999999999996,7.040000000000001,0.0,3.2,0.9600000000000002,83.88,5.4799999999999995,1024.98,3.1000000000000005,1.7200000000000002
2020-02-02,0.45999999999999996,-3.96,5.42,0.0,2.8,0.86,73.48,4.52,1026.32,3.56,1.1
2020-02-03,-0.4600000000000001,-4.2,3.78,0.02,4.9,2.0599999999999996,56.48,3.3199999999999994,1027.78,9.3,1.2399999999999998
2020-02-04,-2.1799999999999997,-8.64,4.88,1.28,4.84,1.8800000000000001,72.80000000000001,3.8599999999999994,1027.34,6.9,-0.16000000000000003
2020-02-05,-7.719999999999999,-10.92,-2.9,0.0,4.54,2.3600000000000003,49.019999999999996,1.6599999999999997,1032.72,9.72,-1.6000000000000003
2020-02-06,-7.1,-13.62,0.020000000000000007,0.0,2.64,1.04,58.08,2.02,1034.98,9.5,-2.12
2020-02-07,-2.3400000000000003,-9.22,2.88,0.0,3.4199999999999995,1.06,64.4,3.2800000000000002,1030.2400000000002,5.26,-0.27999999999999997
2020-02-08,0.039999999999999994,-3.34,4.779999999999999,0.0,5.02,2.12,58.14,3.5,1028.04,9.280000000000001,0.66
2020-02-09,-1.5400000000000003,-8.540000000000001,4.68,0.0,4.4,1.26,67.8,3.5799999999999996,1026.3,9.38,-0.22000000000000003
2020-02-10,2.5200000000000005,-3.62,10.180000000000001,0.0,3.5599999999999996,0.96,65.76,4.54,1024.84,9.3,2.18
2020-02-11,4.5200000000000005,-4.140000000000001,13.920000000000002,0.0,2.68,0.8,58.48,4.48,1027.82,9.44,3.04
2020-02-12,5.9,3.3600000000000003,8.14,8.0,2.12,0.6799999999999999,86.3,8.12,1017.78,0.0,4.82
2020-02-13,6.14,2.72,10.219999999999999,0.0,3.0599999999999996,1.06,93.55999999999999,8.72,1019.9,2.5799999999999996,6.76
2020-02-14,6.04,2.12,12.780000000000001,0.0,2.4799999999999995,0.76,88.67999999999999,8.16,1021.7,6.7,6.5200000000000005
2020-02-15,7.960000000000001,0.96,15.98,1.54,3.8,1.28,80.94000000000001,8.38,1018.4399999999999,4.18,5.880000000000001
2020-02-16,-0.82,-4.5,6.3,9.120000000000001,5.48,2.9200000000000004,89.17999999999999,5.26,1013.96,1.0199999999999998,3.1800000000000006
2020-02-17,-5.3,-7.3199999999999985,-2.88,0.64,4.9399999999999995,2.8000000000000003,73.88000000000001,3.0799999999999996,1018.96,4.9,0.6799999999999999
2020-02-18,-4.159999999999999,-9.879999999999999,1.98,0.0,3.14,1.26,63.5,2.8,1028.3200000000002,9.98,-0.16
2020-02-19,-0.24,-6.8,6.779999999999999,0.0,2.46,0.78,74.52000000000001,4.4399999999999995,1031.08,7.4,1.28
2020-02-20,3.2800000000000002,-2.4,11.120000000000001,0.0,2.48,0.8,79.02000000000001,5.9399999999999995,1034.1799999999998,8.78,3.5799999999999996
2020-02-21,5.2,-1.08,10.98,4.800000000000001,3.5200000000000005,1.1,83.16,7.260000000000001,1030.02,0.82,3.94
2020-02-22,4.16,-0.27999999999999997,8.2,3.6799999999999997,7.780000000000001,3.6599999999999993,70.82000000000001,5.880000000000001,1025.3600000000001,5.26,4.699999999999999
2020-02-23,1.86,-4.040000000000001,8.540000000000001,0.0,4.18,1.48,65.03999999999999,4.32,1029.6399999999999,10.22,2.9400000000000004
2020-02-24,5.680000000000001,-1.44,12.4,0.0,2.7,0.8799999999999999,69.7,6.26,1025.04,7.040000000000001,4.960000000000001
